ID,Spotify URL,Length in sec
0ZMykG3iL2exISZ1lRLtQE,https://open.spotify.com/episode/0ZMykG3iL2exISZ1lRLtQE,2907.67126984127
1bA02vn4MkFuup07Q8jZq2,https://open.spotify.com/episode/1bA02vn4MkFuup07Q8jZq2,3945.012244897959
3u8mo4u0XsMlDIMWOMjb3k,https://open.spotify.com/episode/3u8mo4u0XsMlDIMWOMjb3k,1438.8244897959185
1fdM0fu6Ww0hEJpX9OjAF5,https://open.spotify.com/episode/1fdM0fu6Ww0hEJpX9OjAF5,1948.3689795918367
66k2xvloZPnl6bT3hHFiX9,https://open.spotify.com/episode/66k2xvloZPnl6bT3hHFiX9,4373.1840136054425
1MrTEj3lNmBnWfAMjkklAI,https://open.spotify.com/episode/1MrTEj3lNmBnWfAMjkklAI,2406.9485714285715
3JiJkAPM4vtKHFjcYRd12W,https://open.spotify.com/episode/3JiJkAPM4vtKHFjcYRd12W,4231.941224489796
3QzpvrDgfFaO35EWvR4ZuO,https://open.spotify.com/episode/3QzpvrDgfFaO35EWvR4ZuO,3091.5657142857144
2P14sVA6N3zGxBODhlirdz,https://open.spotify.com/episode/2P14sVA6N3zGxBODhlirdz,4315.149931972789
29QkJwkVt61bMtiesfRJnR,https://open.spotify.com/episode/29QkJwkVt61bMtiesfRJnR,2309.3551020408163
0DvidaJ3jMtx41yhElcCC5,https://open.spotify.com/episode/0DvidaJ3jMtx41yhElcCC5,3325.3761451247165
0OgfBTBU4wBdM2vJFrElTq,https://open.spotify.com/episode/0OgfBTBU4wBdM2vJFrElTq,3894.4972335600905
7pKmyukAAxSyehrXXemmER,https://open.spotify.com/episode/7pKmyukAAxSyehrXXemmER,4235.505487528345
1BxzoVu7h42N5jI30YCtx8,https://open.spotify.com/episode/1BxzoVu7h42N5jI30YCtx8,1493.0895238095238
2P84twm6P7Lvb96xkW8smy,https://open.spotify.com/episode/2P84twm6P7Lvb96xkW8smy,2900.28
3sxlDTxvJ9iZLRROyHCxj1,https://open.spotify.com/episode/3sxlDTxvJ9iZLRROyHCxj1,2897.3040136054424
4yyJcWkMuF0vsmsoQm3gzp,https://open.spotify.com/episode/4yyJcWkMuF0vsmsoQm3gzp,3293.28
